"","Coal","CommercialGeothermal","CommercialHydropower","CommercialSolar","CommercialWind","CommercialWood","ConsumptionCommercialCoal","ConsumptionCommercialDistillateFuelOil","ConsumptionCommercialKerosene","ConsumptionCommercialLiquefiedPetroleumGases","ConsumptionCommercialNaturalGas","ConsumptionElectricPowerCoal","ConsumptionElectricPowerDistillateFuelOil","ConsumptionElectricPowerNaturalGas","ConsumptionIndustrialCoal","ConsumptionIndustrialDistillateFuelOil","ConsumptionIndustrialKerosene","ConsumptionIndustrialLiquefiedPetroleumGases","ConsumptionIndustrialNaturalGas","ConsumptionIndustrialOtherPetroleumProducts","ConsumptionResidentialCoal","ConsumptionResidentialDistillateFuelOil","ConsumptionResidentialKerosene","ConsumptionResidentialLiquefiedPetroleumGases","ConsumptionResidentialNaturalGas","ConsumptionResidentialWood","ConsumptionTransportationCoal","ConsumptionTransportationDistillateFuelOil","ConsumptionTransportationLiquefiedPetroleumGases","ConsumptionTransportationNaturalGas","ElectricPowerWood","ExpenditureCommercialCoal","ExpenditureCommercialDistillateFuelOil","ExpenditureCommercialKerosene","ExpenditureCommercialLiquefiedPetroleumGases","ExpenditureCommercialNaturalGas","ExpenditureElectricPowerCoal","ExpenditureElectricPowerDistillateFuelOil","ExpenditureElectricPowerNaturalGas","ExpenditureIndustrialCoal","ExpenditureIndustrialDistillateFuelOil","ExpenditureIndustrialKerosene","ExpenditureIndustrialLiquefiedPetroleumGases","ExpenditureIndustrialNaturalGas","ExpenditureIndustrialOtherPetroleumProducts","ExpenditureResidentialCoal","ExpenditureResidentialDistillateFuelOil","ExpenditureResidentialKerosene","ExpenditureResidentialLiquefiedPetroleumGases","ExpenditureResidentialNaturalGas","ExpenditureResidentialWood","ExpenditureTransportationCoal","ExpenditureTransportationDistillateFuelOil","ExpenditureTransportationLiquefiedPetroleumGases","ExpenditureTransportationNaturalGas","IndustrialGeothermal","IndustrialHydropower","IndustrialSolar","IndustrialWind","IndustrialWood","PriceCommercialCoal","PriceCommercialDistillateFuelOil","PriceCommercialKerosene","PriceCommercialLiquefiedPetroleumGases","PriceCommercialNaturalGas","PriceElectricPowerCoal","PriceElectricPowerDistillateFuelOil","PriceElectricPowerNaturalGas","PriceIndustrialCoal","PriceIndustrialDistillateFuelOil","PriceIndustrialKerosene","PriceIndustrialLiquefiedPetroleumGases","PriceIndustrialNaturalGas","PriceIndustrialOtherPetroleumProducts","PriceTransportationCoal","PriceTransportationDistillateFuelOil","PriceTransportationLiquefiedPetroleumGases","PriceTransportationNaturalGas","RefineryCoal","RefineryDistillateFuelOil","RefineryLiquefiedPetroleumGases","RefineryNaturalGas","ResidentialGeothermal","State","Year"
"1891",0,160,0,0,0,1681,4116,11154,315,3854,200006,681359,1815,124548,95139,23201,251,8402,265691,30109,509,21312,1442,42024,395146,10062,0,115325,781,24778,14170,7.1,57.6,3,38.4,961.3,932.8,8.1,319.3,164.8,125.9,1.3,74.6,933,117,1.6,153.6,13.6,460.9,1975.2,10.5,0,960.6,8.8,0.2,0,270,0,0,49996,1.72,5.16,9.41,9.97,4.81,1.37,4.44,2.56,1.73,5.44,5.29,9.11,3.86,7.49,0,8.33,11.32,3.85,30,47,213,11698,802,"Michigan",1997
"1942",0,213,0,0,0,1468,3201,8763,372,3601,171055,725314,2724,131386,97942,23988,281,4010,234924,31472,396,15439,1544,39271,334743,8941,0,123045,3083,21880,14145,5.4,36.5,2.9,32.1,800.5,967.8,8.6,305.4,165,103.7,1.1,30.4,801,115.6,1.2,95,11.9,368.7,1652.9,8.1,0,891.7,33.4,0.6,0,255,0,0,48099,1.7,4.16,7.7,8.9,4.68,1.33,3.16,2.32,1.68,4.33,3.89,7.96,3.73,6.23,0,7.25,10.83,3.35,8,37,189,10754,831,"Michigan",1998
"1993",0,213,0,0,0,1544,442,8155,211,4080,186803,712161,2937,134100,119975,28566,287,8255,258573,28440,60,17425,3436,44495,365309,9176,0,126642,1352,23496,14087,0.7,37.6,1.6,34,873.4,930.2,12.1,338.3,206.4,164.4,1.4,65.4,842.4,144.8,0.2,117.7,25.4,410.5,1799.3,8.5,0,996.3,17.3,0.8,0,267,0,0,49911,1.69,4.61,7.39,8.33,4.68,1.31,4.12,2.52,1.72,5.76,4.98,8.16,3.54,7.03,0,7.87,12.82,3.58,0,33,234,11566,941,"Michigan",1999
"2044",0,213,0,0,0,1652,305,9176,186,4200,193586,694689,2177,125972,104768,23598,251,10639,256154,25527,38,16889,2019,45802,381088,9882,0,127522,1022,27549,14781,0.5,68.1,1.7,46.5,896.6,905.7,12.9,491.2,171.8,219.3,2.1,118.9,875.1,147.6,0.1,154,18.9,553.4,1879.1,13.8,0,1321.7,15.7,1.6,0,274,0,0,49261,1.61,7.42,9.38,11.07,4.63,1.3,5.91,3.9,1.64,9.3,8.24,11.36,3.76,8.11,0,10.36,15.38,6.82,4,21,172,13115,941,"Michigan",2000
"2095",0,237,0,0,0,2368,187,8873,197,5249,179129,690540,2150,131702,98953,20333,256,8628,240483,17221,23,15444,1261,57244,354353,13459,0,124945,578,22982,16423,0.3,62.7,1.9,65.6,945.1,880.3,12.5,496.9,165.4,149.1,1.9,102.2,1013,95,0.1,137.4,12.4,785.3,1983,17.9,0,1248.1,9.5,2.4,0,272,0,0,34121,1.62,7.06,9.85,12.5,5.28,1.27,5.84,3.77,1.67,7.34,7.46,12.05,4.64,11.31,0,9.99,16.47,9.07,5,29,148,12306,1004,"Michigan",2001
"2146",0,258,0,0,0,2425,5527,5623,161,5606,179701,660763,3112,147296,72822,16100,109,12263,254735,18074,754,12874,910,61134,375477,13662,0,131011,702,27508,16133,9.7,35.6,1.4,51.8,1050.8,861.6,16,518.8,132.3,113.9,0.7,121,1080,103,2.3,109.2,7.9,733.6,2324.3,16.5,0,1201.9,10.4,2.1,0,293,0,0,24263,1.75,6.33,8.69,9.24,5.85,1.3,5.13,3.52,1.82,7.08,6.6,10.04,4.73,10.64,0,9.17,14.76,7.91,3,20,214,12803,1094,"Michigan",2002
"2197",0,353,0,0,0,2525,664,6891,107,6068,191698,672569,2817,104634,74608,18792,121,10625,229012,24000,99,13284,1498,60614,397104,14381,0,134784,813,28266,16647,1.2,51.9,1.1,69.9,1289.9,898.1,18.7,400.9,138.1,159.1,1,128.4,1114.2,105.6,0.3,134.3,15.1,853.3,2818.5,20.9,0,1409.6,13.8,2.9,0,763,0,0,33948,1.81,7.53,10.09,11.51,6.73,1.34,6.65,3.83,1.85,8.47,8.65,12.42,5.36,7.04,0,10.46,16.95,9.01,15,13,294,11742,1423,"Michigan",2003
"2248",0,400,0,0,0,2738,3948,6182,123,5935,179597,691202,2284,135474,78236,21241,183,18161,224177,21618,439,11868,1255,52830,371133,14740,0,139590,1522,28247,17992,8.3,59.1,1.4,80.2,1398,950.7,19,588.7,170.8,233.3,1.9,246.6,1364.4,98.6,1.5,139.8,14.1,816.7,3084.4,24.3,0,1759.4,28.3,3.7,0,303,0,0,35807,2.11,9.57,11.2,13.52,7.78,1.38,8.3,4.35,2.18,10.99,10.48,13.82,6.71,7.66,0,12.6,18.57,10.19,14,14,326,12500,1545,"Michigan",2004
"2299",0,469,0,0,0,4336,3431,7370,161,3579,177230,718246,2164,132625,77487,20216,238,22305,225447,18846,298,11317,1242,59217,363974,25399,0,135303,1952,28261,15648,9.6,106.4,2.5,58.5,1638,1113.7,25.5,731.4,234.9,304.6,3.5,375.8,1713.7,126.4,1.3,177.8,19.2,1048.1,3783.5,55.4,0,2301.2,40.6,1.2,0,290,0,0,34683,2.8,14.44,15.49,16.34,9.24,1.55,11.78,5.51,3.03,15.08,14.74,17.08,8.5,17.73,0,17.01,20.81,11.48,13,18,300,13157,1768,"Michigan",2005
"2350",0,500,0,0,0,4055,190,7756,149,3510,156666,693365,1752,110391,80022,17524,198,15620,202382,18076,19,8725,866,36379,321453,22526,0,137921,885,26099,15720,0.5,129.2,2.9,63.7,1654.4,1140.4,25.2,656.5,261.1,301.6,3.4,292.4,1741,129.4,0.1,155.9,17.1,720.7,3779.8,56.6,0,2634.3,19.9,1.2,0,319,0,0,32198,2.87,16.66,19.69,18.14,10.56,1.64,14.4,5.95,3.26,17.22,17.01,18.9,9.72,21.41,0,19.1,22.46,10.8,5,14,151,12881,2051,"Michigan",2006
"2401",0,531,0,0,0,4254,3800,6528,44,3493,167367,721334,1705,125463,75622,18245,88,14492,159710,23997,422,7934,541,41873,335707,24897,0,135499,1066,26642,14576,11.2,119.9,1,68.4,1640.7,1219.5,28,819.7,246.9,341,1.7,303,1291,158.6,1.8,158,12.1,909.7,3632.5,68.7,0,2754.5,26.3,0.6,0,258,0,0,32614,2.96,18.37,22.33,19.59,9.8,1.69,16.41,6.53,3.27,18.71,19.48,21.22,9.26,13.1,0,20.33,24.66,5.96,11,15,211,10488,2483,"Michigan",2007
"2452",0,571,0,0,0,4531,4854,6097,41,3828,176264,712368,1660,94815,82747,19739,37,3522,152200,20543,0,6980,278,39186,350007,27861,0,119927,1109,24249,13531,22.4,150.3,1,89.3,1834.7,1377.3,40.5,817.7,332.3,500.4,0.8,86.7,1335.3,196.7,0,164.9,6.5,1009.2,4077.1,95.3,0,3218.2,31.7,1.3,0,254,0,0,33073,4.61,24.66,23.47,23.33,10.41,1.93,24.38,8.62,4.02,25.37,21.19,25.3,10.02,19.95,0,26.83,28.61,7.75,19,15,97,11299,2960,"Michigan",2008
"2503",0,657,0,0,0,2986,6388,7849,45,2647,167230,682465,1485,85127,47053,17870,58,3423,140000,19599,0,5252,403,38071,334202,18659,0,115667,872,24223,12819,38,115.2,1.1,49.4,1535.3,1385.4,19.3,381.3,236.6,267.9,1,64.3,1132.2,98.7,0,84.8,9.6,895.2,3686.6,47.6,0,1969.8,20.4,1,0,239,0,0,30091,5.95,14.67,23.7,18.66,9.18,2.03,12.98,4.48,5.03,15.01,16.58,19.52,9.43,11.58,0,17.03,23.43,3.99,5,19,129,11174,3690,"Michigan",2009
"2554",0,741,0,0,0,2961,4587,6527,76,2643,154839,677558,1476,114841,67140,18626,113,3161,154139,20564,0,3891,361,35117,309303,16290,0,122266,774,25574,14301,23.3,120.6,1.9,51.8,1363.5,1418,24.7,562.8,352,351.3,2.3,67.3,1223.1,104.5,0,79.7,9.1,805.3,3445,49,0,2521.4,19.9,1.3,0,274,0,0,32714,5.07,18.48,25.17,19.6,8.81,2.09,16.76,4.9,5.24,18.87,20.48,22.15,9.1,12.09,0,20.62,25.75,5.11,0,8,122,11308,4157,"Michigan",2010
"2605",0,1056,0,0,0,2818,4060,7161,53,2471,165824,620398,1853,114498,66691,18532,21,3364,160427,20579,0,3872,264,32830,322392,16660,0,122752,1385,24198,14426,20.5,176.4,1.5,53.7,1495,1652.1,41.1,536.8,401.8,472.1,0.5,81.4,1154.9,134.5,0,105.8,7.5,781.6,3329.5,60.2,0,3286.1,39.5,4.4,0,284,0,0,38529,5.04,24.63,28.49,21.75,9.02,2.66,22.17,4.69,6.03,25.47,25.74,24.67,8.16,15.98,0,26.77,28.51,13.06,0,0,67,11590,4032,"Michigan",2011
"2656",0,874,0,0,0,2420,2132,6768,19,2923,147050,559748,1287,184389,59753,16311,8,3789,170015,23163,0,2651,87,27520,281450,15550,0,121235,1320,21180,12842,11.4,165.7,0.6,56.8,1207.5,1556.6,29.2,581.8,349.8,418.1,0.2,73.3,1081,126.6,0,72.2,2.6,632.1,2753.9,62.5,0,3322.9,36.4,4.1,0,250,0,0,39595,5.37,24.48,29.88,19.42,8.21,2.78,22.67,3.16,5.85,25.67,26.59,19.67,7.26,13.86,0,27.41,27.56,12.09,0,25,63,12317,4320,"Michigan",2012
"2707",0,874,0,0,0,2543,1728,7720,41,3658,174323,588873,1285,113033,67570,19179,5,3991,182081,28659,0,3237,128,37444,339675,21473,0,133661,2039,19370,12648,8.9,190.2,1.2,75.7,1341.3,1566.7,29.2,507,326,480.2,0.1,82.7,1159,268.4,0,91.4,3.9,927,3038,85.2,0,3593.6,60.3,2.7,0,279,0,0,36988,5.14,24.63,30.54,20.7,7.69,2.66,22.75,4.49,4.82,25.05,26.81,20.92,6.86,17.86,0,26.89,29.59,7.69,0,12,38,4630,4320,"Michigan",2013
"2758",0,874,0,0,0,2588,1589,6704,53,3376,190300,554168,1506,114280,62722,18324,8,3915,191847,30081,0,4047,199,37294,362109,21473,0,137108,1465,20164,13994,8.1,155.8,1.8,78.5,1543.5,1441.1,32.1,758.1,286,428.2,0.2,88.2,1379.3,269.9,0,110.4,6.6,1057.3,3309.5,83.1,0,3703.6,49.3,3.4,0,275,0,0,36762,5.1,23.24,32.87,23.26,8.11,2.6,21.3,6.63,4.56,23.38,27.1,23.84,7.68,16.04,0,27.01,33.67,8.11,0,6,215,4998,4320,"Michigan",2014
"41",0,0,0,0,0,165,0,6393,990,8896,7223,27176,1110,91616,0,17090,3618,3269,36423,2061,0,3150,17858,6711,6603,8720,0,22474,314,1035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Florida",1960
"92",0,0,0,0,0,135,0,7219,977,8884,7038,36267,1216,87575,0,18351,2782,3255,44380,2249,0,3557,17621,6702,8694,7121,0,22601,400,1207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Florida",1961
"143",0,0,0,0,0,143,0,8248,1034,9644,10823,39644,1462,92004,0,21331,3538,3562,51425,2480,0,4064,18653,7275,6820,7516,0,25654,531,1771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Florida",1962
"194",0,0,0,0,0,148,0,8872,1243,10783,13777,43281,1603,97873,0,22051,3263,3875,57869,1511,0,4372,22419,8134,7475,7792,0,25522,590,2447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Florida",1963
"245",0,0,0,0,0,121,0,8200,1004,11623,18888,46691,1873,96377,0,20550,6010,3629,59978,4233,0,4040,18103,8768,11822,6398,0,29775,546,2531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Florida",1964
"296",0,0,0,0,0,111,0,11541,943,10534,13202,55189,2262,90220,0,25926,7264,2951,77188,4452,0,5687,17017,7947,8436,5848,0,26109,513,2623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Florida",1965
"347",0,0,0,0,0,127,0,13575,978,10144,13833,70146,2482,101543,0,28925,8923,3317,93245,3406,0,6689,17644,7653,8737,6708,0,29628,710,3211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Florida",1966
"398",0,0,0,0,0,115,0,13574,592,10325,23379,96160,2489,112024,0,27247,7419,3010,85150,3023,0,6689,10683,7789,9798,5986,0,28821,726,3976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Florida",1967
"449",0,0,0,0,0,140,0,12173,664,11736,22941,103172,2660,154684,0,26757,6896,3054,92712,3254,0,5998,11985,8853,11861,7327,0,39429,721,4454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Florida",1968
"500",0,0,0,0,0,140,0,10355,690,13748,25908,104100,2939,188437,0,26481,6649,3287,95534,3394,0,5103,12451,10371,12195,7396,0,41516,633,4783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Florida",1969
"551",0,0,0,0,0,140,0,11937,759,14657,28017,116720,3454,206501,0,26178,6289,3466,96265,3447,0,5882,13687,11057,15305,7465,0,43647,756,4538,0,0,11.7,0.5,18.3,24.9,35.8,1.3,72.4,0,14.7,3.9,4.4,35.8,6.4,0,7.4,22.3,33.9,37,1.6,0,63,0.9,0,0,0,0,0,40368,0,0.98,0.61,1.25,0.89,0.31,0.36,0.35,0,0.56,0.61,1.28,0.37,2,0,1.44,1.25,0,0,0,0,380,0,"Florida",1970
"602",0,0,0,0,0,138,0,11975,745,14156,26523,117154,7723,203527,0,26735,5759,3171,102286,3912,0,5901,13438,10679,13785,7344,0,43526,801,4407,0,0,12.8,0.5,17.7,27.1,39.6,3.7,78,0,16.2,3.8,4.1,43.1,7.6,0,8.2,21.5,31.6,33.6,1.7,0,65.6,1,0,0,0,0,0,39835,0,1.06,0.66,1.25,1.02,0.34,0.48,0.38,0,0.6,0.66,1.29,0.42,2.08,0,1.51,1.25,0,0,0,0,459,0,"Florida",1971
"653",0,0,0,0,0,145,0,11118,541,14544,24878,123613,21357,174070,0,27313,4746,3739,94245,4233,0,5478,9761,10972,13740,7654,0,47746,808,4304,0,0,11.9,0.4,18.7,28,52.5,12.5,68.8,0,16.5,3.1,5,42.9,8.2,0,7.6,15.6,34.9,34.1,1.8,0,74.4,1,0,0,0,0,0,44118,0,1.07,0.66,1.28,1.12,0.42,0.58,0.4,0,0.6,0.66,1.33,0.47,2.1,0,1.56,1.28,0,0,0,0,291,0,"Florida",1972
"704",0,0,0,0,0,156,0,13342,454,15491,25903,152578,17058,172332,0,33093,3273,4078,105160,4571,0,6575,8196,11686,17360,8222,0,62830,769,4138,0,0,15.7,0.3,21.4,31.4,77.8,16.1,76.9,0,21.9,2.4,5.8,55.5,9.6,0,10.1,15.1,52.7,44,2.2,0,116.2,1.1,0,0,0,0,0,45442,0,1.18,0.72,1.38,1.21,0.51,0.94,0.45,0,0.66,0.72,1.44,0.55,2.28,0,1.85,1.38,0,0,73,52,222,0,"Florida",1973
"755",0,0,0,0,0,165,0,11842,286,13356,24014,146604,22026,158424,0,28835,993,4049,100511,4830,0,5835,5151,10076,15769,8720,0,62419,723,3284,0,0,24.6,0.6,31.6,37,108.2,40.7,92.8,0,57.7,2.2,9.9,68.4,12.9,0,14.5,15.3,55,42.2,3.6,0,161.3,1.7,0,0,0,0,0,40919,0,2.08,2.19,2.36,1.54,0.74,1.85,0.59,0,2.01,2.19,2.47,0.7,2.93,0,2.58,2.36,0,0,197,46,430,0,"Florida",1974
"806",0,0,0,0,0,182,0,12967,227,13265,34207,132959,30172,142424,503,27520,655,4528,96620,4734,0,6389,4103,10007,16388,9615,0,59181,649,2500,0,0,29.3,0.5,32.2,53.9,134.7,66.5,102.9,0.3,60,1.6,11.5,85.1,15.3,0,16.7,13.4,63.2,41.7,4.1,0,171.1,1.6,0,0,0,0,0,37771,0,2.26,2.38,2.43,1.58,1.01,2.2,0.72,0.53,2.2,2.38,2.56,0.95,3.55,0.53,2.89,2.43,0,0,209,48,447,0,"Florida",1975
"857",0,0,0,0,0,207,0,14187,376,14318,42131,141346,31564,127318,490,27786,1802,5033,111557,4867,0,6991,6778,10801,17879,10939,0,62225,683,1982,0,0,35.8,1,38.2,68.2,154.9,73.5,105.5,0.6,64.7,4.6,14.1,104,17.8,0,20.3,24.1,65.6,47.4,5,0,197.6,1.8,0,0,0,0,0,42673,0,2.52,2.53,2.67,1.62,1.1,2.33,0.83,1.19,2.34,2.53,2.81,1,4,1.19,3.18,2.67,0,0,138,0,326,0,"Florida",1976
"908",0,0,0,0,0,226,0,14830,329,15454,43986,156763,31305,140078,3171,32139,867,5822,111512,5135,0,7307,5935,11658,19435,11920,0,83871,734,940,0,0,42.1,1,42.2,82.9,199.2,81,122.8,4.4,85.7,2.6,17,113.9,20.2,0,23.6,24,82.4,64.3,6.2,0,296.6,2,0,0,0,0,0,45270,0,2.84,2.95,2.73,1.88,1.27,2.59,0.88,1.37,2.69,2.95,2.92,1.07,4.27,1.37,3.54,2.73,0,0,318,0,263,0,"Florida",1977
"959",0,0,0,0,0,232,0,15047,307,14303,37852,169395,29396,161835,6128,33126,964,5110,109279,5582,0,7414,5544,10790,23125,12178,0,92617,816,1216,0,0,45.2,1,45.6,71.9,248.8,78.2,166.8,9.5,95.6,3.1,17.5,114.8,21.1,0,25.8,24,75.6,76.5,6.7,0,348.4,2.6,0,0,0,0,0,50585,0,3.01,3.22,3.19,1.9,1.47,2.66,1.03,1.55,2.92,3.22,3.42,1.11,4.32,0,3.76,3.19,0,0,451,0,176,0,"Florida",1978
"1010",0,0,0,0,0,242,0,12640,306,11348,38605,193727,29007,170792,8524,29431,924,12152,125065,7700,0,6228,5523,8561,18459,12745,0,92278,572,4094,0,0,53.5,1.3,53,100.2,313.5,140.5,216.6,13.8,112.3,3.8,59.8,239.8,30.2,0,28.4,32.4,66.6,64.8,10,0,511.5,2.7,0,0,0,0,0,53939,0,4.23,4.15,4.67,2.6,1.62,4.84,1.27,1.62,3.82,4.15,4.92,2.05,6.2,0,5.54,4.67,0,0,17,0,298,0,"Florida",1979
"1061",0,0,0,0,0,1136,192,11218,159,11406,32285,208091,18639,168538,17123,41221,850,19404,108636,5407,51,7075,4389,8604,16189,45794,0,93280,617,3921,0,0.3,70.7,1,59.7,103.6,374.6,107.3,257.9,30.2,236.8,5.5,107.2,259.6,42.9,0.2,49,39.1,89,72.7,50.1,0,719.9,3.2,0,0,0,0,0,40888,1.77,6.3,6.41,5.23,3.21,1.8,5.76,1.53,1.77,5.75,6.41,5.53,2.61,9.41,0,7.72,5.23,0,0,33,0,228,0,"Florida",1980
"1112",0,0,0,0,0,894,25,14981,363,12145,37291,222906,13103,173697,13534,27981,624,14576,123841,5681,6,5724,3255,9162,18099,37187,0,112446,1205,4545,0,0,118.5,2.8,70.5,126.4,447.6,94.2,320.3,26.7,191.9,4.7,90.3,336.5,58.8,0,49.7,36.5,104.8,86.8,50.1,0,1030.6,7,0,0,0,0,0,40940,1.97,7.91,7.59,5.8,3.39,2.01,7.19,1.84,1.97,6.86,7.59,6.2,2.96,10.34,0,9.16,5.8,0,0,0,0,0,0,"Florida",1981
"1163",0,0,0,0,0,1333,77,3787,1253,9908,32244,229282,4987,185026,10804,17162,3278,14241,102615,5118,16,4217,1287,7474,14745,58860,0,103399,1370,4468,3,0.2,28.4,9.6,61.9,139.3,493.6,36.2,405.8,22,118.8,25,95.8,342.4,51.3,0.1,35.3,14.4,97.9,89.9,76.9,0,854.7,8.6,0,0,0,0,0,38742,2.03,7.51,7.63,6.25,4.32,2.15,7.27,2.19,2.03,6.92,7.63,6.73,3.76,10.03,0,8.27,6.25,0,0,0,0,0,0,"Florida",1982
"1214",0,0,0,0,0,937,306,12612,3666,11779,32069,303029,5864,176736,15553,26421,232,11090,90771,5398,58,2877,1754,8886,16866,41297,0,115109,1626,4569,0,0.6,82.8,27.6,78.3,147.4,661.2,36.9,447,30.5,180.4,1.7,79.7,304.5,53.1,0.2,20.9,13.2,114.5,105.4,52.2,0,863.9,10.8,0,0,0,0,0,43188,1.96,6.56,7.53,6.65,4.6,2.18,6.3,2.53,1.96,6.83,7.29,7.19,3.74,9.84,0,7.5,6.65,0,0,0,0,0,0,"Florida",1983
"1265",0,0,0,0,0,1282,1402,14833,4150,13323,33549,356543,5445,176663,20378,31075,601,7392,86828,6222,329,3384,4550,10051,16362,57125,0,117468,2062,4770,3,2.8,98.5,31.6,84.4,158.6,772.6,32.7,585.6,41.4,207.7,4.4,50.7,302.3,64.1,1.1,23.6,34.6,120.7,106.7,73.5,0,869.8,13.1,0,0,0,0,0,42907,2.03,6.64,7.61,6.34,4.73,2.17,6.01,3.32,2.03,6.69,7.24,6.85,3.87,10.31,0,7.4,6.34,0,0,0,0,0,0,"Florida",1984
"1316",0,0,0,0,0,1398,2134,23785,5935,15420,34021,447033,7258,167505,22583,30176,3513,8828,84237,5739,602,3692,4897,11633,15010,58844,0,120939,1497,4288,0,4.4,147.8,43,170.9,163.4,947.7,41.5,544.2,45.4,192.4,24.3,103.3,272.5,54.8,2,24.9,35.5,124.5,100.9,72.8,0,875.8,18,0,0,0,0,0,42038,2.04,6.22,7.25,11.08,4.8,2.12,5.71,3.25,2.04,6.49,6.91,11.99,3.71,10.37,0,7.24,12.05,0,316,527,214,2822,0,"Florida",1985
"1367",0,0,0,0,0,1573,1832,22204,4807,16509,38548,437561,5970,170889,19473,33216,204,9268,70334,5519,547,3007,3152,12454,14912,53601,0,127199,1678,4245,0,3.6,85.7,23.8,167,158.6,844.1,20.3,354.8,38,144.6,1.1,99,174.5,41.6,1.6,23.1,15.6,128.9,99.9,53.2,0,793.5,17.6,0,0,0,0,0,39104,1.98,3.86,4.95,10.12,4.11,1.93,3.41,2.08,1.98,4.43,5.23,10.81,2.85,8.95,0,6.24,10.51,0,281,571,111,2447,0,"Florida",1986
"1418",0,0,0,0,0,1486,1028,25681,2646,14099,41044,560411,6098,177081,24874,33626,233,7770,74601,4993,307,4791,3575,10636,15946,43697,0,133029,749,4881,0,1.9,107.5,17.2,131,175.8,1017.1,23.9,480.6,46.4,152,1.1,76.6,199.3,47,0.9,32.3,23.2,127.7,109,41.3,0,886.1,7.3,0,0,0,0,0,38278,1.86,4.19,6.49,9.29,4.28,1.82,3.93,2.71,1.86,4.52,4.57,9.86,3.01,9.4,0,6.66,9.72,0,0,0,0,0,0,"Florida",1987
"1469",0,0,0,0,0,1640,51,22085,2370,12527,40855,584634,6041,155786,26764,27963,460,7475,89403,4671,14,3483,3709,9450,16080,46634,0,150639,836,3635,0,0.1,84.6,22.8,125.6,171.8,1038.9,21.4,327.3,49.2,116.9,2,79.7,214.5,39.6,0,25,35.7,113.5,111.5,44.5,0,941.7,8.6,0,0,0,0,0,39469,1.84,3.83,9.61,10.03,4.2,1.78,3.54,2.1,1.84,4.18,4.37,10.67,2.63,8.48,0,6.25,10.34,0,0,0,0,0,0,"Florida",1988
"1520",0,139,0,0,0,3819,7,17990,2021,12459,37946,608010,14251,189336,28621,23963,651,7667,91260,4365,2,2350,2160,9399,14148,47146,0,148981,818,4492,2550,0,79.9,19.3,116,170.1,1086.5,60.9,466.1,53.2,119,3.6,75.2,236.3,38.7,0,15.4,20.6,101.6,105.4,49.7,0,989.2,7.9,0,0,0,0,0,103524,1.86,4.44,9.54,9.31,4.48,1.79,4.27,2.46,1.86,4.97,5.5,9.81,2.9,8.87,0,6.64,9.66,0,0,0,0,0,1020,"Florida",1989
"1571",0,158,0,0,0,2768,92,22443,708,12834,39349,603104,10931,191639,30171,24162,285,5927,93919,4180,23,1616,873,9682,14063,25325,0,146530,816,3024,3010,0.2,125,6,130.5,183.1,1115.1,55.7,485.4,57,143.5,2,64.8,304.1,37.6,0.1,15.5,7.4,121.5,109.9,34.9,0,1202.9,8.6,0,0,0,0,0,91418,1.89,5.57,8.5,10.17,4.65,1.85,5.09,2.53,1.89,5.94,7.15,10.94,3.3,9.01,0,8.21,10.56,2.51,0,0,0,0,1130,"Florida",1990
